Question,Difficulty,Option 1,Option 2,Option 3,Option 4,Correct Answer,Selected
"Which of these is a type of social welfare payment?",Easy,"Jobseeker's Allowance","Netflix voucher","Movie tickets","Gym membership","Jobseeker's Allowance",0
"Which of these affects the amount of PAYE you pay?",Easy,"Income level","Hair color","Favorite sport","Shoe size","Income level",0
"Which of these reduces net income?",Easy,"Taxes","Salary increases","Birthday gifts","Lottery winnings","Taxes",0
"What is the maximum rate of USC for high earners?",Easy,"11%","5%","2%","20%","11%",0
"What is PRSI used for?",Easy,"Social welfare benefits","Buying a car","Paying rent","Saving for holidays","Social welfare benefits",0
"What is the difference between gross pay and net pay?",Easy,"Deductions","Income type","Tax credit","Allowance","Deductions",0
"What is the primary purpose of income tax?",Easy,"Fund public services","Buy clothes","Pay Netflix subscription","Save for holidays","Fund public services",0
"Which of these is a government allowance?",Easy,"Earned Income Tax Credit","Gym membership","Concert tickets","Birthday gifts","Earned Income Tax Credit",0
"Which of these affects how much PRSI you pay?",Easy,"Salary level","Eye color","Favorite food","Clothing size","Salary level",0
"Which of these is NOT income?",Easy,"Gift from a friend","Salary","Bonus","Freelance work","Gift from a friend",0
"Which of these is an example of fixed expenditure?",Easy,"Rent","Eating out","Movies","Clothes","Rent",0
"Which of these is a tax on income?",Easy,"Income Tax","Car tax","VAT","Property tax","Income Tax",0
"Which of these is discretionary income?",Easy,"Money left after essentials","Money for rent","Money for utilities","Money for taxes","Money left after essentials",0
"Why is it important to know your tax credits?",Easy,"To reduce taxes owed","To spend more money","To get a loan","To increase expenses","To reduce taxes owed",0
"What does 'mandatory deductions' include?",Easy,"PAYE, USC, PRSI","Netflix, Spotify","Rent, groceries","Clothes, games","PAYE, USC, PRSI",0
"What does USC stand for?",Easy,"Universal Social Charge","United Social Contribution","Unique Salary Charge","Union Service Contribution","Universal Social Charge",0
"Which of these is a tax-free allowance?",Easy,"Standard rate cut-off point","Netflix subscription","Movie tickets","Gym membership","Standard rate cut-off point",0
"Which of these is part of a monthly budget?",Easy,"Rent","Concert ticket","Video games","Candy","Rent",0
"Why should young people check their payslip?",Easy,"To confirm correct deductions","To pick favorite songs","To plan holidays","To select clothing","To confirm correct deductions",0
"What is the purpose of a tax credit?",Easy,"Reduce tax owed","Increase rent","Increase bills","Buy food","Reduce tax owed",0
"Which of these is an example of irregular spending?",Easy,"Eating out","Rent","Electricity","Groceries","Eating out",0
"Which of these is essential for living?",Easy,"Rent","Concert tickets","Video games","Candy","Rent",0
"What does net income mean?",Easy,"Income after deductions","Income before deductions","Income from lottery","Gift money","Income after deductions",0
"Which of these affects PAYE?",Easy,"Salary","Favorite color","Height","Shoe size","Salary",0
"Which of these is discretionary?",Easy,"Eating out","Rent","Taxes","Utilities","Eating out",0
"Which of these is a social insurance?",Easy,"PRSI","Netflix","Gym","Candy","PRSI",0
"Which of these is included in a budget?",Easy,"Rent","Lottery tickets","Candy","Concerts","Rent",0
"What is the effect of higher income tax?",Easy,"Reduces net pay","Increases net pay","No effect","Gives bonus","Reduces net pay",0
"Which of these is a government deduction?",Easy,"PAYE","Netflix","Video games","Candy","PAYE",0
"Which of these is a tax charge?",Easy,"USC","Birthday gift","Lottery prize","Concert ticket","USC",0
"Which of these is a credit against tax?",Easy,"Single Person Tax Credit","Concert ticket","Gym","Candy","Single Person Tax Credit",0
"Which of these can reduce your taxable income?",Easy,"Pension contribution","Lottery ticket","Concert ticket","Candy","Pension contribution",0
"Which of these shows money you take home?",Easy,"Net Pay","Gross Pay","PRSI","USC","Net Pay",0
"Which of these is part of gross pay?",Easy,"Salary","Netflix","Gym","Candy","Salary",0
"Which of these is an essential bill?",Easy,"Rent","Concert ticket","Candy","Video game","Rent",0
"Which of these is discretionary?",Easy,"Eating out","Rent","Taxes","Utilities","Eating out",0
"Which of these reduces net pay?",Easy,"Income Tax","Lottery","Gift","Bonus","Income Tax",0
"Which of these is fixed spending?",Easy,"Rent","Candy","Eating out","Concert ticket","Rent",0
"Which of these is a deduction?",Easy,"PAYE","Candy","Video game","Concert ticket","PAYE",0
"Which of these is a social insurance deduction?",Easy,"PRSI","Candy","Gym","Concert ticket","PRSI",0
"Which of these is a tax charge?",Easy,"USC","Candy","Netflix","Video game","USC",0
